date,stage,match_slug,market_slug,type,group,question,outcome,resolved_price
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-spread-away-1pt5,spreads,South Africa (-1.5),Spread: South Africa (-1.5),Mexico,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-spread-home-2pt5,spreads,Mexico (-2.5),Spread: Mexico (-2.5),Mexico,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-spread-home-2pt5,spreads,Mexico (-2.5),Spread: Mexico (-2.5),South Africa,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-spread-away-2pt5,spreads,South Africa (-2.5),Spread: South Africa (-2.5),South Africa,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-spread-away-2pt5,spreads,South Africa (-2.5),Spread: South Africa (-2.5),Mexico,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-total-0pt5,totals,O/U 0.5,Mexico vs. South Africa: O/U 0.5,Over,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-total-0pt5,totals,O/U 0.5,Mexico vs. South Africa: O/U 0.5,Under,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-total-1pt5,totals,O/U 1.5,Mexico vs. South Africa: O/U 1.5,Over,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-total-1pt5,totals,O/U 1.5,Mexico vs. South Africa: O/U 1.5,Under,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-total-2pt5,totals,O/U 2.5,Mexico vs. South Africa: O/U 2.5,Over,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-total-2pt5,totals,O/U 2.5,Mexico vs. South Africa: O/U 2.5,Under,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-total-3pt5,totals,O/U 3.5,Mexico vs. South Africa: O/U 3.5,Over,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-total-3pt5,totals,O/U 3.5,Mexico vs. South Africa: O/U 3.5,Under,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-total-4pt5,totals,O/U 4.5,Mexico vs. South Africa: O/U 4.5,Over,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-total-4pt5,totals,O/U 4.5,Mexico vs. South Africa: O/U 4.5,Under,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-total-5pt5,totals,O/U 5.5,Mexico vs. South Africa: O/U 5.5,Over,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-total-5pt5,totals,O/U 5.5,Mexico vs. South Africa: O/U 5.5,Under,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-btts,both_teams_to_score,Both Teams to Score,Mexico vs. South Africa: Both Teams to Score,Yes,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-btts,both_teams_to_score,Both Teams to Score,Mexico vs. South Africa: Both Teams to Score,No,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-btts-first-half,both_teams_to_score_first_half,Both Teams to Score in First Half,Mexico vs. South Africa: Both Teams to Score in First Half,Yes,0
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-btts-first-half,both_teams_to_score_first_half,Both Teams to Score in First Half,Mexico vs. South Africa: Both Teams to Score in First Half,No,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-first-half-total-0pt5,first_half_totals,1st Half O/U 0.5,Mexico vs. South Africa: 1st Half O/U 0.5,Over,1
2026-06-11,Group,fifwc-mex-rsa-2026-06-11,fifwc-mex-rsa-2026-06-11-first-half-total-0pt5,first_half_totals,1st Half O/U 0.5,Mexico vs. South Africa: 1st Half O/U 0.5,Under,0
